,Rate,Review,Movie_name
0,10,Some birds aren't meant to be caged.,刺激1995
1,10,An incredible movie. One that lives with you.,刺激1995
2,10,Don't Rent Shawshank.,刺激1995
3,10,This is How Movies Should Be Made,刺激1995
4,10,A classic piece of unforgettable film-making.,刺激1995
5,10,"Enthralling, fantastic, intriguing, truly remarkable!",刺激1995
6,10,The Shawshank Redemption,刺激1995
7,10,Stephen King's best adapted movie,刺激1995
8,10,Eternal Hope,刺激1995
9,10,IMDb and the Greatest Film of All Time,刺激1995
10,10,All-time prison film classic,刺激1995
11,10,the shawshank redemption,刺激1995
12,10,"""I'm a convicted murderer who provides sound financial planning"".",刺激1995
13,10,"Simply known as ""The Movie""",刺激1995
14,10,Simply amazing. The best film of the 90's.,刺激1995
15,10,Shawshank Redeems Hollywood,刺激1995
16,9,"""I Had To Go To Prison To Learn To Be A Crook""",刺激1995
17,10,never give up hope,刺激1995
18,10,"The UNIVERSALITY of Shawshank: Andy Dufresne as ""EVERYMAN""",刺激1995
19,10,Hope can set you free and so can this remarkable film,刺激1995
20,9,A Sort of Secular Redemption,刺激1995
21,10,Shawshank Redemption- Prison Film is Redeemed by Quality ****,刺激1995
22,10,Simply the best,刺激1995
23,10,Powerful Masterpiece,刺激1995
24,10,Busy dying or busy living?,刺激1995
25,10,From my favorite movies..,刺激1995
26,8,The best story ever told on film,刺激1995
27,10,The closest thing to poetic perfection Hollywood has ever produced,刺激1995
28,9,I Know My Name Is Captain Obvious,刺激1995
29,10,Good for the spirit,刺激1995
30,8,Compensatory Incarceration...,刺激1995
31,10,The absolute GREATEST movie of all time.,刺激1995
32,8,"Great story, wondrously told and acted",刺激1995
33,10,A classic,刺激1995
34,10,The Greatest Movie of all Time,刺激1995
35,10,One of my favourites...,刺激1995
36,10,Masterpiece,刺激1995
37,9,An extraordinary and unforgettable film about a bank veep who is convicted of murders and sentenced to the toughest prison,刺激1995
38,10,Compelling masterpiece,刺激1995
39,10,"When There is Life, There is Hope; When There is Hope, There is Life",刺激1995
40,9,Delightful to sit through,刺激1995
41,10,"An astonishing tale of endurance, courage, life, and perspective..",刺激1995
42,10,Hope is everything,刺激1995
43,10,One of the most powerful movies I've ever watched,刺激1995
44,9,A Middle Finger To Pigs Everywhere,刺激1995
45,10,Best movie of all time!,刺激1995
46,10,life changing,刺激1995
47,10,"""I have to remind myself that some birds aren't meant to be caged""",刺激1995
48,10,Simply Wonderful,刺激1995
49,10,its an excellent piece of art,刺激1995
50,10,Why can't they make films like this anymore?,刺激1995
51,9,One of the Best If You Get It,刺激1995
52,10,i swear,刺激1995
